filename,width,height,filesize,brightness,sharpness,blurry_flag
GVLiD\Black rot\black rot132.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot133.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot134.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot135.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot136.jpg,1080,1080,246550,115.14372661179698,119.94242858886719,1
GVLiD\Black rot\black rot137.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot138.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot139.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot140.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot141.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot142.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot143.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot144.jpg,1080,1080,193897,152.65443991855275,86.20852661132812,1
GVLiD\Black rot\black rot145.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot146.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot147.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot148.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot149.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot150.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot151.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot152.jpg,1080,1080,293989,91.95425065586421,303.29046630859375,1
GVLiD\Black rot\black rot153.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot154.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot155.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot156.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot157.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot158.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot159.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot160.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot161.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot162.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot163.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot164.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot165.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot166.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot167.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot168.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot169.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot170.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot171.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot172.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot173.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot174.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot175.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot176.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
